谷口 雄也,日本ハム,0.268,72,175,164,44,2,11,3,9,0,56,2,0,0.36,0.306,0.666,4.08,3.95
金城 龍彦,DeNA,0.2,90,175,160,32,0,11,0,13,1,21,1,3,0.238,0.264,0.502,1.76,1.79
森本 稀哲,西武,0.252,99,173,147,37,0,13,2,16,1,42,9,0,0.347,0.329,0.676,4.04,3.9
桑原 将志,DeNA,0.257,53,169,144,37,1,13,4,15,2,32,8,5,0.354,0.335,0.69,3.88,3.75
荒木 貴裕,ヤクルト,0.275,55,168,149,41,2,12,1,16,1,25,2,2,0.349,0.349,0.698,4.39,4.34
多村 仁志,DeNA,0.272,73,166,147,40,4,23,0,15,2,23,1,4,0.401,0.345,0.747,4.6,4.59
市川 友也,日本ハム,0.263,71,166,137,36,2,9,0,6,3,22,19,0,0.336,0.306,0.642,3.5,3.5
後藤 武敏,DeNA,0.283,68,165,145,41,7,31,0,18,0,34,1,4,0.483,0.36,0.843,6.02,5.93
鶴岡 一成,阪神,0.221,77,163,154,34,0,12,0,3,1,30,4,10,0.266,0.239,0.505,1.11,1.16
松井 雅人,中日,0.176,67,162,142,25,1,4,3,16,0,47,4,3,0.232,0.259,0.492,1.67,1.8
高橋 周平,中日,0.257,61,156,144,37,6,14,0,8,0,29,2,2,0.451,0.292,0.744,4.55,4.61
荻野 貴司,ロッテ,0.261,40,155,142,37,3,12,15,8,0,14,5,1,0.423,0.3,0.723,5.02,4.81
